                 Q-tabell                       State Space
        Q1        Q2        Q3		   k1   k2   k3   k4   k5   k6
      0.00      1.00      5.00		    0    0    0    0    0    0
      3.00      1.00      0.00		    0    0    0    0    0    0
      0.00      3.00      1.00		    0    1    0    0    0    0
      0.00      0.00      3.00		    1    0    2    0    0    0
      0.00      0.00      0.00		    3    1    0    3    0    0
      0.00      0.00      0.00		    0    3    1    0    4    0
      0.00      0.00      0.00		    0    0    3    1    0    5
      0.00      0.00      0.00		    0    0    0    3    1    1
      0.00      0.00      0.00		    0    0    0    0    3    1
      1.00      1.00      0.00		    0    0    0    0    0    3
      1.00      1.00      2.00		    0    0    0    0    0    0
      3.00      1.00      1.00		    3    0    0    0    0    0
      0.00      3.00      1.00		    1    4    0    0    0    0
      0.00      0.00      3.00		    1    1    5    0    0    0
      0.00      0.00      1.00		    0    0    0    0    0    0
      0.00      0.00      0.00		    1    0    0    0    1    0
      0.00      0.00      0.00		    0    1    0    0    0    2
      0.00      0.00      0.00		    0    0    1    0    0    0
      3.00      0.00      0.00		    0    0    0    1    0    0
      0.00      4.00      0.00		    0    0    0    0    1    0
      0.00      0.00      5.00		    0    0    0    0    0    1
      0.00      0.00      1.00		    0    0    0    0    0    0
      1.00      0.00      0.00		    1    1    0    0    0    0
      0.00      1.00      0.00		    0    1    2    0    0    0
      0.00      0.00      1.00		    0    0    1    3    0    0
      0.00      0.00      0.00		    1    0    0    1    4    0
      0.00      0.00      0.00		    0    1    0    0    1    5
      0.00      0.00      0.00		    0    0    1    0    1    0
      0.00      0.00      0.00		    0    0    0    1    0    1
      0.00      1.00      0.00		    0    0    0    0    1    0
      1.00      0.00      2.00		    0    0    0    0    0    1
      0.00      1.00      0.00		    3    0    0    0    0    0
      1.00      0.00      1.00		    0    4    0    0    0    0
      0.00      1.00      0.00		    1    0    5    0    0    0
      0.00      0.00      1.00		    0    1    1    0    0    0
      0.00      0.00      0.00		    1    0    1    1    1    0
      0.00      0.00      0.00		    0    1    0    1    1    2
      0.00      0.00      0.00		    0    0    1    0    1    1
      3.00      0.00      0.00		    0    0    0    1    0    1
      1.00      4.00      0.00		    0    0    0    0    1    0
      1.00      1.00      5.00		    0    0    0    0    0    1
      1.00      0.00      0.00		    0    0    0    0    0    0
      1.00      1.00      0.00		    0    1    0    0    0    0
      0.00      1.00      1.00		    0    0    2    0    0    0
      0.00      0.00      1.00		    1    0    0    3    0    0
      0.00      0.00      0.00		    1    1    0    0    4    0
      0.00      0.00      0.00		    0    1    1    0    0    5
      0.00      0.00      0.00		    0    0    1    1    0    1
      0.00      0.00      0.00		    0    0    0    1    1    0
      1.00      1.00      0.00		    0    0    0    0    1    1
      0.00      1.00      2.00		    0    0    0    0    0    1
      1.00      0.00      1.00		    3    0    0    0    0    0
      1.00      1.00      0.00		    1    4    0    0    0    0
      0.00      1.00      1.00		    0    1    5    0    0    0
      0.00      0.00      1.00		    1    1    0    0    0    0
      0.00      0.00      0.00		    1    1    1    0    1    0
      0.00      0.00      0.00		    0    1    1    1    0    2
      0.00      0.00      0.00		    0    0    1    1    1    0
      3.00      0.00      0.00		    0    0    0    1    1    1
      0.00      4.00      0.00		    0    0    0    0    1    1
      1.00      0.00      5.00		    0    0    0    0    0    1
      1.00      1.00      1.00		    0    0    0    0    0    0
      1.00      1.00      1.00		    1    1    0    0    0    0
      0.00      1.00      1.00		    1    1    2    0    0    0
      0.00      0.00      1.00		    1    1    1    3    0    0
      0.00      0.00      0.00		    1    1    1    1    4    0
      0.00      0.00      0.00		    0    1    1    1    1    5
      0.00      0.00      0.00		    0    0    1    2    0    0
      0.00      0.00      0.00		    0    0    0    1    2    0
      0.00      1.00      0.00		    0    0    0    0    1    2
      0.00      0.00      2.00		    0    0    0    0    0    1
      2.00      0.00      0.00		    3    0    0    0    0    0
      1.00      2.00      0.00		    0    4    0    0    0    0
      0.00      1.00      2.00		    0    0    5    0    0    0
      0.00      0.00      1.00		    2    0    1    0    0    0
      0.00      0.00      0.00		    1    2    0    1    1    0
      0.00      0.00      0.00		    0    1    2    0    1    2
      0.00      0.00      0.00		    0    0    1    2    0    1
      3.00      0.00      0.00		    0    0    0    1    2    0
      1.00      4.00      0.00		    0    0    0    0    1    2
      0.00      1.00      5.00		    0    0    0    0    0    1
      2.00      1.00      0.00		    0    0    0    0    0    0
      1.00      2.00      1.00		    0    1    0    0    0    0
      0.00      1.00      2.00		    1    0    2    0    0    0
      0.00      0.00      1.00		    2    1    0    3    0    0
      0.00      0.00      0.00		    1    2    1    0    4    0
      0.00      0.00      0.00		    0    1    2    1    0    5
      0.00      0.00      0.00		    0    0    1    2    1    1
      0.00      0.00      0.00		    0    0    0    1    2    1
      1.00      1.00      0.00		    0    0    0    0    1    2
      1.00      1.00      2.00		    0    0    0    0    0    1
      2.00      1.00      1.00		    3    0    0    0    0    0
      1.00      2.00      1.00		    1    4    0    0    0    0
      0.00      1.00      2.00		    1    1    5    0    0    0
      0.00      0.00      1.00		    3    0    0    0    0    0
      0.00      0.00      0.00		    1    3    0    0    1    0
      0.00      0.00      0.00		    0    1    3    0    0    2
      0.00      0.00      0.00		    0    0    1    3    0    0
      3.00      0.00      0.00		    0    0    0    1    3    0
      0.00      4.00      0.00		    0    0    0    0    1    3
      0.00      0.00      5.00		    0    0    0    0    0    1
      3.00      0.00      1.00		    0    0    0    0    0    0
      1.00      3.00      0.00		    1    1    0    0    0    0
      0.00      1.00      3.00		    0    1    2    0    0    0
      0.00      0.00      1.00		    3    0    1    3    0    0
      0.00      0.00      0.00		    1    3    0    1    4    0
      0.00      0.00      0.00		    0    1    3    0    1    5
      0.00      0.00      0.00		    0    0    1    3    1    0
      0.00      0.00      0.00		    0    0    0    1    3    1
      0.00      1.00      0.00		    0    0    0    0    1    3
      1.00      0.00      2.00		    0    0    0    0    0    1
      3.00      1.00      0.00		    3    0    0    0    0    0
      1.00      3.00      1.00		    0    4    0    0    0    0
      0.00      1.00      3.00		    1    0    5    0    0    0
      0.00      0.00      1.00		    3    1    1    0    0    0
      0.00      0.00      0.00		    1    3    1    1    1    0
      0.00      0.00      0.00		    0    1    3    1    1    2
      0.00      0.00      0.00		    0    0    1    3    1    1
      3.00      0.00      0.00		    0    0    0    1    3    1
      1.00      4.00      0.00		    0    0    0    0    1    3
      1.00      1.00      5.00		    0   -0   -7    0    0    2
      0.00      0.00      0.00		    0  -47   -0  -50    0    0
      2.00      0.00      0.00		    0    1  -50   -0  -50    0
      0.00      2.00      0.00		    0    0    2   -1   -0   -0
      0.00      0.00      2.00		    0    0    0    3  -41    1
     -2.60      0.00      0.00		    2    0    0    0    4  -50
     -0.15     -1.43      0.00		    0    2    0    0    0    5
      0.00      0.00      0.00		    0    0    2    0    0    1
      0.00      0.00      0.00		    0    0    0    2    0    0
      1.00      1.00      0.00		    0    0    0    0    2    0
      0.00      1.00      2.00		    0    0    0    0    0    2
      0.00      0.00      1.00		    3    0    0    0    0    0
      2.00      0.00      0.00		    1    4    0    0    0    0
      0.00      2.00      0.00		    0    1    5    0    0    0
      0.00      0.00      2.00		    0    1    0    0    0    0
      0.00      0.00      0.00		    2    0    1    0    1    0
      0.00      0.00      0.00		    0    2    0    1    0    2
      0.00      0.00      0.00		    0    0    2    0    1    0
      3.00     -0.05      0.00		    0    0    0    2    0    1
      0.00      4.00      0.00		    0    0    0    0    2    0
      1.00      0.00      5.00		    0    0    0    0    0    2
      0.00      1.00      1.00		    0  -50   -0   -0    0    0
      2.00      0.00      1.00		    1    1    0    0    0    0
      0.00      2.00      0.00		    1    1    2    0    0    0
      0.00      0.00      2.00		    0    1    1    3  -50   -0
     -0.86      0.00      0.00		    2    0    1    1    4    0
      0.00      0.00      0.00		    0    2    0    1    1    5
      0.00      0.00      0.00		    0    0    2    1    0    0
      0.00      0.00      0.00		    0    0    0    2    1    0
      0.00      1.00      0.00		    0    0    0    0    2    1
      0.00      0.00      2.00		    0    0    0    0    0    2
      1.00      0.00      0.00		    3    0    0    0    0    0
      2.00      1.00      0.00		    0    4    0    0    0    0
      0.00      2.00      1.00		    0    0    5    0    0    0
      0.00      0.00      2.00		    1    0    1    0    0    0
      0.00      0.00      0.00		    2    1    0    1    1    0
      0.00      0.00      0.00		    0    2    1    0    1    2
      0.00      0.00      0.00		    0    0    2    1    0    1
      3.00      0.00      0.00		    0    0    0    2    1    0
      1.00      4.00      0.00		    0    0    0    0    2    1
      0.00      1.00      5.00		    0    0    0    0    0    2
      1.00      1.00      0.00		    0    0    0    0    0    0
      2.00      1.00      1.00		    0    1    0    0    0    0
      0.00      2.00      1.00		    1    0    2    0    0    0
      0.00      0.00      2.00		    1    1    0    3    0    0
      0.00      0.00      0.00		    2    1    1    0    4    0
      0.00      0.00      0.00		    0    2    1    1    0    5
      0.00      0.00      0.00		    0    0    2    1    1    1
      0.00      0.00      0.00		    0    0    0    2    1    1
      1.00      1.00      0.00		    0    0    0    0    2    1
      1.00      1.00      2.00		    0    0    0    0    0    2
      1.00      1.00      1.00		    3    0    0    0    0    0
      2.00      1.00      1.00		    1    4    0    0    0    0
      0.00      2.00      1.00		    1    1    5  -68  -59  -69
      0.00      0.00      2.00		    2    0    0    0  -91    0
    -63.64      0.00      0.00		    2    2    0    0    1  -70
      8.96    -54.34      0.00		    0    2    2    0    0    2
    -85.23      2.14    -59.44		    0    0    2    2    0    0
      3.00    -50.08      3.33		  -51    0    0    2    2    0
      0.00      4.00    -92.89		  -62   -2    0    0    2    2
      0.00      0.00      5.00		  -12   -0   -0    0    0    2
      2.00      0.00      1.00		    0    0    0    0    0    0
      2.00      2.00      0.00		    1    1   -0   -0    0    0
      0.00      2.00      2.00		    0    1    2    0    0    0
      0.00      0.00      2.00		    2    0    1    3  -52    0
    -23.70      0.00      0.00		    2    2    0    1    4  -50
    -50.00    -17.81      0.00		    0    2    2    0    1    5
     -5.60    -22.72    -52.77		    0    0    2    2    1    0
      0.00    -50.06    -57.52		   -1    0    0    2    2    1
      0.00      1.00    -15.44		   -2  -50    0    0    2    2
      1.00      0.00      2.00		   -0    4   -0    0    0    2
      2.00      1.00      0.00		    3    0    2   -1    0    0
      2.00      2.00      1.00		    0    4    0   -0   -0    0
      0.00      2.00      2.00		    1    0    5  -50   -1  -51
      0.00      0.00      2.00		    2    1    1    0  -50   -3
    -50.34      0.00      0.00		    2    2    1    1    1  -50
    -50.15    -16.01      0.00		    0    2    2    1    1    2
    -88.96    -53.04     -4.75		    0    0    2    2    1    1
      3.00    -57.73    -50.82		   -1    0    0    2    2    1
      1.00      4.00    -90.90		  -50  -51    0    0    2    2
      1.00      1.00      5.00		    0    0    0    0    0    2
      3.00      0.00      0.00		    0   -3    2   -4    0    0
      2.00      3.00      0.00		    0    1   -0    2   -9    0
      0.00      2.00      3.00		    0    0    2   -0   -0   -2
      0.00      0.00      2.00		    3    0    0    3   -1    1
     -0.59      0.00      0.00		    2    3    0    0    4    0
      0.35    -18.51      0.00		    0    2    3    0    0    5
      0.00      0.00      0.00		    0    0    2    3    0    1
      0.00      0.00      0.00		    0    0    0    2    3    0
      1.00      1.00      0.00		    0    0    0    0    2    3
      0.00      1.00      2.00		    0    0    0    0    0    2
      3.00      0.00      1.00		    3    0    0    0    0    0
      2.00      3.00      0.00		    1    4    0    0    0    0
      0.00      2.00      3.00		    0    1    5    0    0    0
      0.00      0.00      2.00		    3    1    0    0    0    0
      0.00      0.00      0.00		    2    3    1    0    1    0
      0.00      0.00      0.00		    0    2    3    1    0    2
     -0.05      0.00      0.00		    0    0    2    3    1    0
      3.00     -0.08     -0.15		  -50    0    0    2    3    1
      0.00      4.00      0.00		    0    0    0    0    2    3
      1.00      0.00      5.00		    0    0    0    0    0    2
      3.00      1.00      1.00		    0    0    0    0    0    0
      2.00      3.00      1.00		    1    1    0    0    0    0
      0.00      2.00      3.00		    1    1    2    0    0   -0
      0.00      0.00      2.00		    3    1    1    3   -0   -0
     -0.38      0.00      0.00		    2    3    1    1    4    0
      0.00      0.00      0.00		    0    2    3    1    1    5
      0.00      0.00      0.00		    0    0    3    0    0    0
      0.00      0.00      0.00		    0    0    0    3    0    0
      0.00      1.00      0.00		    0    0    0    0    3    0
      0.00      0.00      2.00		    0    0    0    0    0    3
      0.00      0.00      0.00		    3    0    0    0    0    0
      3.00      0.00      0.00		    0    4    0    0    0    0
      0.00      3.00      0.00		    0    0    5    0    0    0
      0.00      0.00      3.00		    0    0    1    0    0    0
      0.00      0.00      0.00		    3    0    0    1    1    0
      0.00      0.00      0.00		    0    3    0    0    1    2
      0.00      0.00      0.00		    0    0    3    0    0    1
      3.00      0.00      0.00		    0    0    0    3    0    0
      1.00      4.00      0.00		    0    0    0    0    3    0
      0.00      1.00      5.00		    0    0    0    0    0    3
      0.00      1.00      0.00		    0    0    0    0    0    0
      3.00      0.00      1.00		    0    1    0    0    0    0
      0.00      3.00      0.00		    1    0    2    0    0    0
      0.00      0.00      3.00		    0    1    0    3    0    0
      0.00      0.00      0.00		    3    0    1    0    4    0
      0.00      0.00      0.00		    0    3    0    1    0    5
      0.00      0.00      0.00		    0    0    3    0    1    1
      0.00      0.00      0.00		    0    0    0    3    0    1
      1.00      1.00      0.00		    0    0    0    0    3    0
      1.00      1.00      2.00		    0    0    0    0    0    3
      0.00      1.00      1.00		    3    0    0    0    0    0
      3.00      0.00      1.00		    1    4    0    0    0    0
      0.00      3.00      0.00		    1    1    5    0    0    0
      0.00      0.00      3.00		    1    0    0    0    0    0
      0.00      0.00      0.00		    3    1    0    0    1    0
      0.00      0.00      0.00		    0    3    1    0    0    2
      0.00      0.00      0.00		    0    0    3    1    0    0
      3.00      0.00      0.00		    0    0    0    3    1    0
      0.00      4.00      0.00		    0    0    0    0    3    1
      0.00      0.00      5.00		    0    0    0    0    0    3
      1.00      0.00      1.00		    0    0    0    0    0    0
      3.00      1.00      0.00		    1    1    0    0    0    0
      0.00      3.00      1.00		    0    1    2    0    0    0
      0.00      0.00      3.00		    1    0    1    3    0    0
      0.00      0.00      0.00		    3    1    0    1    4    0
      0.00      0.00      0.00		    0    3    1    0    1    5
      0.00      0.00      0.00		    0    0    3    1    1    0
      0.00      0.00      0.00		    0    0    0    3    1    1
      0.00      1.00      0.00		    0    0    0    0    3    1
      1.00      0.00      2.00		    0    0    0    0    0    3
      1.00      1.00      0.00		    3    0    0    0    0    0
      3.00      1.00      1.00		    0    4    0    0    0    0
      0.00      3.00      1.00		    1    0    5    0    0    0
      0.00      0.00      3.00		    1    1    1    0    0    0
      0.00      0.00      0.00		    3    1    1    1    1    0
      0.00      0.00      0.00		    0    3    1    1    1    2
      0.00      0.00      0.00		    0    0    3    1    1    1
      3.00      0.00      0.00		    0    0    0    3    1    1
      1.00      4.00      0.00		    0    0    0    0    3    1
      1.00      1.00      5.00		   -0  -50   -1    0    0    3
      2.00      0.00      0.00		    0    0  -50    0    0    0
      3.00      2.00      0.00		    0    1   -0   -0   -0    0
      0.00      3.00      2.00		    0    0    2    0    0    0
      0.00      0.00      3.00		    2    0    0    3    0    0
      0.00      0.00      0.00		    3    2    0    0    4    0
     -0.39     -1.20      0.00		    0    3    2    0    0    5
      0.00      0.00      0.00		    0    0    3    2    0    1
      0.00      0.00      0.00		    0    0    0    3    2    0
      1.00      1.00      0.00		    0    0    0    0    3    2
      0.00      1.00      2.00		    0    0    0    0    0    3
      2.00      0.00      1.00		    3    0    0   -0    0    0
      3.00      2.00      0.00		    1    4  -23    0   -0    0
      0.00      3.00      2.00		    0    1    5    0    0    0
      0.00      0.00      3.00		    2    1    0    0    0    0
      0.00      0.00      0.00		    3    2    1    0    1    0
      0.00      0.00      0.00		    0    3    2    1    0    2
      0.00      0.00      0.00		    0    0    3    2    1    0
      3.00      0.00      0.00		    0    0    0    3    2    1
      0.00      4.00      0.00		    0    0    0    0    3    2
      1.00      0.00      5.00		    0    0    0    0    0    3
      2.00      1.00      1.00		    0    0    0    0    0    0
      3.00      2.00      1.00		    1    1    0    0    0    0
      0.00      3.00      2.00		    1    1    2    0    0    0
      0.00      0.00      3.00		    2    1    1    3    0    0
      0.00      0.00      0.00		    3    2    1    1    4    0
      0.00      0.00      0.00		    0    3    2    1    1    5
      0.00      0.00      0.00		    0    0    3    3    0    0
      0.00      0.00      0.00		    0    0    0    3    3    0
      0.00      1.00      0.00		    0    0    0    0    3    3
      0.00      0.00      2.00		    0    0    0    0    0    3
      3.00      0.00      0.00		    3    0    0    0    0    0
      3.00      3.00      0.00		    0    4    0    0    0    0
      0.00      3.00      3.00		    0    0    5    0    0    0
      0.00      0.00      3.00		    3    0    1    0    0    0
      0.00      0.00      0.00		    3    3    0    1    1    0
      0.00      0.00      0.00		    0    3    3    0    1    2
      0.00      0.00      0.00		    0    0    3    3    0    1
      3.00      0.00      0.00		    0    0    0    3    3    0
      1.00      4.00      0.00		    0    0    0    0    3    3
      0.00      1.00      5.00		    0    0    0    0    0    3
      3.00      1.00      0.00		    0    0    0    0    0    0
      3.00      3.00      1.00		    0    1    0    0    0    0
      0.00      3.00      3.00		    1    0    2    0    0    0
      0.00      0.00      3.00		    3    1    0    3    0    0
      0.00      0.00      0.00		    3    3    1    0    4    0
      0.00      0.00      0.00		    0    3    3    1    0    5
      0.00      0.00      0.00		    0    0    3    3    1    1
      0.00      0.00      0.00		    0    0    0    3    3    1
      1.00      1.00      0.00		    0    0    0    0    3    3
      1.00      1.00      2.00		    0    0    0    0    0    3
      3.00      1.00      1.00		    3    0    0    0    0    0
      3.00      3.00      1.00		    1    4    0    0    0    0
      0.00      3.00      3.00		    1    1    5    0    0    0
      0.00      1.00      0.00		    0    0    0    0    0    0
      0.00      0.00      1.00		    0    0    0    0    1    0
      0.00      0.00      0.00		    1    0    0    0    0    2
      0.00      0.00      0.00		    0    1    0    0    0    0
      3.00      0.00      0.00		    0    0    1    0    0    0
      0.00      4.00      0.00		    0    0    0    1    0    0
      0.00      0.00      5.00		    0    0    0    0    1    0
      0.00      0.00      1.00		    0    0    0    0    0    1
      0.00      0.00      0.00		    1    1    0    0    0    0
      1.00      0.00      0.00		    0    1    2    0    0    0
      0.00      1.00      0.00		    0    0    1    3    0    0
      0.00      0.00      1.00		    0    0    0    1    4    0
      0.00      0.00      0.00		    1    0    0    0    1    5
      0.00      0.00      0.00		    0    1    0    0    1    0
      0.00      0.00      0.00		    0    0    1    0    0    1
      0.00      1.00      0.00		    0    0    0    1    0    0
      1.00      0.00      2.00		    0    0    0    0    1    0
      0.00      1.00      0.00		    3    0    0    0    0    1
      0.00      0.00      1.00		    0    4    0    0    0    0
      1.00      0.00      0.00		    1    0    5    0    0    0
      0.00      1.00      0.00		    0    1    1    0    0    0
      0.00      0.00      1.00		    0    0    1    1    1    0
      0.00      0.00      0.00		    1    0    0    1    1    2
      0.00      0.00      0.00		    0    1    0    0    1    1
      3.00      0.00      0.00		    0    0    1    0    0    1
      1.00      4.00      0.00		    0    0    0    1    0    0
      1.00      1.00      5.00		    0    0    0    0    1    0
      1.00      0.00      0.00		    0    0    0    0    0    1
      0.00      1.00      0.00		    0    1    0    0    0    0
      1.00      0.00      1.00		    0    0    2    0    0    0
      0.00      1.00      0.00		    1    0    0    3    0    0
      0.00      0.00      1.00		    0    1    0    0    4    0
      0.00      0.00      0.00		    1    0    1    0    0    5
      0.00      0.00      0.00		    0    1    0    1    0    1
      0.00      0.00      0.00		    0    0    1    0    1    0
      1.00      1.00      0.00		    0    0    0    1    0    1
      0.00      1.00      2.00		    0    0    0    0    1    0
      1.00      0.00      1.00		    3    0    0    0    0    1
      0.00      1.00      0.00		    1    4    0    0    0    0
      1.00      0.00      1.00		    0    1    5    0    0    0
      0.00      1.00      0.00		    1    1    0    0    0    0
      0.00      0.00      1.00		    0    1    1    0    1    0
      0.00      0.00      0.00		    1    0    1    1    0    2
      0.00      0.00      0.00		    0    1    0    1    1    0
      3.00      0.00      0.00		    0    0    1    0    1    1
      0.00      4.00      0.00		    0    0    0    1    0    1
      1.00      0.00      5.00		    0    0    0    0    1    0
      1.00      1.00      1.00		    0    0    0    0    0    1
      0.00      1.00      1.00		    1    1    0    0    0    0
      1.00      0.00      1.00		    1    1    2    0    0    0
      0.00      1.00      0.00		    1    1    1    3    0    0
      0.00      0.00      1.00		    0    1    1    1    4    0
      0.00      0.00      0.00		    1    0    1    1    1    5
      0.00      0.00      0.00		    0    1    0    2    0    0
      0.00      0.00      0.00		    0    0    1    0    2    0
      0.00      1.00      0.00		    0    0    0    1    0    2
      0.00      0.00      2.00		    0    0    0    0    1    0
      2.00      0.00      0.00		    3    0    0    0    0    1
      0.00      2.00      0.00		    0    4    0    0    0    0
      1.00      0.00      2.00		    0    0    5    0    0    0
      0.00      1.00      0.00		    2    0    1    0    0    0
      0.00      0.00      1.00		    0    2    0    1    1    0
      0.00      0.00      0.00		    1    0    2    0    1    2
      0.00      0.00      0.00		    0    1    0    2    0    1
      3.00      0.00      0.00		    0    0    1    0    2    0
      1.00      4.00      0.00		    0    0    0    1    0    2
      0.00      1.00      5.00		    0    0    0    0    1    0
      2.00      1.00      0.00		    0    0    0    0    0    1
      0.00      2.00      1.00		    0    1    0    0    0    0
      1.00      0.00      2.00		    1    0    2    0    0    0
      0.00      1.00      0.00		    2    1    0    3    0    0
      0.00      0.00      1.00		    0    2    1    0    4    0
      0.00      0.00      0.00		    1    0    2    1    0    5
      0.00      0.00      0.00		    0    1    0    2    1    1
      0.00      0.00      0.00		    0    0    1    0    2    1
      1.00      1.00      0.00		    0    0    0    1    0    2
      1.00      1.00      2.00		    0    0    0    0    1    0
      2.00      1.00      1.00		    3    0    0    0    0    1
      0.00      2.00      1.00		    1    4    0    0    0    0
      1.00      0.00      2.00		    1    1    5    0    0    0
      0.00      1.00      0.00		    3    0    0    0    0    0
      0.00      0.00      1.00		    0    3    0    0    1    0
      0.00      0.00      0.00		    1    0    3    0    0    2
      0.00      0.00      0.00		    0    1    0    3    0    0
      3.00      0.00      0.00		    0    0    1    0    3    0
      0.00      4.00      0.00		    0    0    0    1    0    3
      0.00      0.00      5.00		    0    0    0    0    1    0
      3.00      0.00      1.00		    0    0    0    0    0    1
      0.00      3.00      0.00		    1    1    0    0    0    0
      1.00      0.00      3.00		    0    1    2    0    0    0
      0.00      1.00      0.00		    3    0    1    3    0    0
      0.00      0.00      1.00		    0    3    0    1    4    0
      0.00      0.00      0.00		    1    0    3    0    1    5
      0.00      0.00      0.00		    0    1    0    3    1    0
      0.00      0.00      0.00		    0    0    1    0    3    1
      0.00      1.00      0.00		    0    0    0    1    0    3
      1.00      0.00      2.00		    0    0    0    0    1    0
      3.00      1.00      0.00		    3    0    0    0    0    1
      0.00      3.00      1.00		    0    4    0    0    0    0
      1.00      0.00      3.00		    1    0    5    0    0    0
      0.00      1.00      0.00		    3    1    1    0    0    0
      0.00      0.00      1.00		    0    3    1    1    1    0
